Name,Platform,Total_reviews,Scraped_reviews,Quote,Score,Date,Author,Spoiler
Mafia III,Xbox One,93,93,"Xbox One. I'm suprised at the low review scores. Mafia 3 has a wonderfully detailed and lively environment, streets and residential areas feel more alive than most games i've played and it's the main source of praise from me, the city has great flow, they've made it very accessible, especially on foot. Random encounters were well thought out, conversations both on the street and with characters were relevant to my progress within the story. The world was so lovely to be in that I often found myself listening out a top song and simply watching the world go by before entering a mission marker. The gameplay and story were both very good, it all felt crisp and well written, I loved the call out system for guns, cars and bank. The soundtrack is, by far, the best I've ever heard and was worth the price alone, it will never be bettered in a game. The driving took a while to get used to but after a few hours and some upgrades it became a really enjoyable experience with some epic drifts and high speed close shaves, the traffic density is just right, and with that soundtrack I often found myself getting in the zone.

A few down sides, a few more side missions and some side activities would be nice. It require's a more detailed combat system, especially melee. Father James is painful to listen too and his character is unconvincing, can - he - talk - any - slower. Lighting is unstable. The game crashed 3 times in roughly 40 hours of play. Frame rate dropped a tiny bit at points towards the end of the game. The solid bushes everywhere felt a little bit quick and cheap, bushes aren't solid objects! Give us the option to create a save point, we should be free to save, load and back up as we please.

Despite some lighting issues I think the game has been very well tested which most don't agree with, it was a pleasure to play, a thoroughly enjoyable experience with some innovative touches.",8,2016-10-30,fishkeeper84,False
Frostpunk 2,PC,87,87,"all the fun parts,robots, exploring, cold visual arts, have been removed from FP1
then isolated & uncooked elements are added.",1,2024-11-03,Alex45678,False
Detroit: Become Human,PlayStation 4,1618,500,"I would have given the hackneyed gameplay a pass if the story was remotely interesting and passable, but unfortunately, no. Worse yet is the racism and the use of Black suffering as a crux to show off how oppressed the androids are, going as far as to use Civil Rights movement references, Black Panther iconography, and equating the struggles of androids to that of black slaves. Detroit: Become Human is the ultimate middle finger to black experiences and suffering, coming from the perspective of a French studio that has, in the past, used racist caricatures in their games. The subtlety in this game is equal to that of the game beating your head in with a heavy mallet. There is none. Any attempts to be non-offending, to be non-racist, are steamrolled over by black androids singing slave songs and running away on the android ""railroad."" This is, by far, probably the worst release of 2018, and the year is not even over yet.",0,2018-05-26,newtnoot,False
Gears of War 3,Xbox 360,498,498,"Overall, if you're looking for a great shooter this is definitely a great choice. Single player starts off weak, but soon enough becomes very action orientated and much more emotional. Graphics are great, as well as co op and multi-player. The different multiplayer modes are tons of fun and for the most part balanced along with nice looking maps. Co-op modes, ""beast"" and ""horde"" modes are probably where you will send most of your time with this game. Story- 8/10
Multiplayer- 9/10
Visuals- 9/10",9,2012-01-02,GamerReviews,False
Hades,Xbox Series X,91,91,"This game is absolutely stunning. Enjoying every single minute of it. It has been a long time since I played a game that gave so much fun. Every run is different, endless combinations of boons. Amazing game, highly recommend.",10,2021-11-12,lukaszw,False
Dark Souls Remastered,PlayStation 4,378,378,One of the best game that has ever been made. Hidetaka Miyazaki and his team are geniuses. The best gameplay and level design that I’ve ever seen,10,2020-08-15,Shikadan,False
Warcraft III: Reforged,PC,10000,500,Blizzard entertainment's final demonstration of a complete lack of vision and compromise. An absolute offense to the community that has supported them over 2 decades. They destroyed a game loved by many manu people around the world and this shall be their legacy.,0,2020-02-01,Skullkid93,False
Bloodborne: The Old Hunters,PlayStation 4,191,191,I like the dlc see it has some problems it's very short and the level design is mostly just so so but  boss is what makes it worth it and I enjoyed them all very much,8,2023-06-01,frederik1478,False
Grand Theft Auto: San Andreas,PlayStation 2,466,466,Bu bir başyapıt oynadığım en iyilerden birisi bence hikaye akıyor müthiş bir hikayesi var hiçbir zaman unutulmayacak oyun,10,2024-05-17,Mr_PoiSon,False
Mass Effect,PC,431,431,"I was... surprised, I admit it.
I never thought that I would love this videogame as much as I do! I seriously have to thank my friends for their recommendation :)
The story was brilliant and very well developed, it kept me at the edge of my seat until I finished it. The graphics were stunningly beautiful and the pacing of it managed to keep me interested in everything that was shown here. I didn't manage to complete a lot of side-quests but the ones I did were entertaining and quite funny, actually.
The characters in general had a certain level of complexity that captivated me along the way and sometimes I would choose other options to just see them talk about things that happened in their past.
But the most interesting aspect of Mass Effect was the capacity of making your own choices and deciding which dialogues your main character would say and how their ending was going to be. That, in my opinion, is what makes ME such a unique game in this industry.
And because of all this, I have to give it 10/10. Such an amazing videogame and I can't wait to play ME2! :D",10,2015-03-21,VFerreira93,False
